Timestamp,Open,High,Low,Close,Value1,EndTimestamp,Value2,Volume,Value3,Value4,Value5
2020-01-01 00:00:00.000,7208.47379564,9575.63736841,7189.19078721,9351.01878302,0,1580515199999,0,2479496,0,0,0
2020-02-01 00:00:00.000,9581.92909091,9669.45437145,8446.77706467,8527.27894737,0,1583020799999,0,419179,0,0,0
2020-03-01 00:00:00.000,8527.27894737,9186.98090909,3802.26818182,6411.3281273,0,1585699199999,0,2673490,0,0,0
2020-04-01 00:00:00.000,6409.88549572,9454.33111676,6151.93008701,8627.02071476,0,1588291199999,0,2591942,0,0,0
2020-05-01 00:00:00.000,8624.8220784,10053.18363636,8146.67612727,9453.00874452,0,1590969599999,0,2678387,0,0,0
2020-06-01 00:00:00.000,9452.14965361,10348.30727273,8840.54683181,9136.95126753,0,1593561599999,0,2591943,0,0,0
2020-07-01 00:00:00.000,10253.83802727,11441.13566818,10206.13954545,11336.59909091,0,1596239999999,0,393170,0,0,0
2020-08-01 00:00:00.000,11363.37669848,11772.25284991,11360.5659577,11650.88309677,0,1598918399999,0,331794,0,0,0
2020-09-01 00:00:00.000,10906.59614398,11175.09660157,10141.99966964,10776.26715298,0,1601510399999,0,1250039,0,0,0
2020-10-01 00:00:00.000,10776.22457233,14093.02456452,10380.32911298,13793.58466306,0,1604188799999,0,2678300,0,0,0
2020-11-01 00:00:00.000,13793.48196422,19846.88889922,13205.80441685,19692.76363346,0,1606780799999,0,2591856,0,0,0
2020-12-01 00:00:00.000,22511.623523,29300.468,22002.24272211,28924.77669122,0,1609459199999,0,1257185,0,0,0
2021-01-01 00:00:00.000,28925.48869122,41933.0276566,28268.52232939,33102.17892,0,1612137599999,0,2678368,0,0,0
2021-02-01 00:00:00.000,50865.81985622,52019.6488,43026.00108532,45160.127864,0,1614556799999,0,395766,0,0,0
2021-03-01 00:00:00.000,45154.455864,61814.81584939,44959.320176,58753.05233332,0,1617235199999,0,2674518,0,0,0
2021-04-01 00:00:00.000,58752.07593332,64834.0642,46982.1798,57693.53513468,0,1619827199999,0,2591895,0,0,0
2021-05-01 00:00:00.000,57691.58422559,59513.92736076,29834.85668085,37256.55019695,0,1622505599999,0,2678257,0,0,0
2021-06-01 00:00:00.000,37258.23428786,41314.6754525,28825.51712,35041.69933934,0,1625097599999,0,2591883,0,0,0
2021-07-01 00:00:00.000,35041.79295636,42359.07409358,29300.765432,41450.47983901,0,1627775999999,0,2678263,0,0,0
2021-08-01 00:00:00.000,41451.81623901,50489.79055622,37345.38415639,47114.84395971,0,1630454399999,0,2678205,0,0,0
2021-09-01 00:00:00.000,47114.42795971,52909.020292,39615.81154907,43817.4774689,0,1633046399999,0,2591930,0,0,0
2021-10-01 00:00:00.000,43817.77731875,66975.25064083,43294.37227071,61301.56543843,0,1635724799999,0,2678379,0,0,0
2021-11-01 00:00:00.000,61301.61670057,69002.62264816,53282.5986576,56910.02083213,0,1638316799999,0,2591927,0,0,0
2021-12-01 00:00:00.000,56915.20672585,59048.46946185,42573.8106374,46210.24333412,0,1640995199999,0,2678363,0,0,0
2022-01-01 00:00:00.000,46216.33098118,47966.88828424,33007.04496844,38466.15125798,0,1643673599999,0,2671505,0,0,0
2022-01-31 23:59:10.848,38465.86641139,45785.83604276,34333.61198157,43173.33480218,0,1646092799999,0,2419186,0,0,0
2022-03-01 00:00:00.000,43172.10050686,48181.54223378,37158.15606971,45514.04691732,0,1648771199999,0,2678359,0,0,0
2022-04-01 00:00:00.000,45513.92540739,47412.07959237,37597.98223259,37646.53480213,0,1651363199999,0,2591989,0,0,0
2022-05-01 00:00:00.000,37646.53040653,40010.31104527,26775.31897412,31797.81561151,0,1654041599999,0,2678075,0,0,0
2022-06-01 00:00:08.192,31797.32873158,31977.68316312,17632.60166678,19947.75607755,0,1656633599999,0,2591988,0,0,0
2022-08-01 00:00:13.312,23301.06919544,25197.07555222,19530.75784496,20050.41767904,0,1661990399999,0,2678381,0,0,0
2022-08-31 23:58:58.560,20050.27383289,22769.81962387,18168.05519072,19421.82826526,0,1664582399999,0,2591975,0,0,0
2022-10-01 00:00:18.432,19421.82826526,21052.92859463,18240.71137590,20492.89487578,0,1667260799999,0,2678372,0,0,0
2022-10-31 23:59:03.680,20492.66095383,21468.61179733,15486.27818354,17165.93786070,0,1669852799999,0,2591967,0,0,0
2022-12-01 00:00:23.552,17164.74471733,18363.52570030,16274.87957143,16541.51757429,0,1672531199999,0,2678359,0,0,0
2022-12-31 23:59:08.800,16542.33730943,23957.70675122,16502.84998193,23127.94756915,0,1675209599999,0,2678364,0,0,0
2023-02-01 00:00:05.120,23128.25256551,25242.59050900,21367.63341402,23131.96826534,0,1677628799999,0,2419117,0,0,0
2023-03-01 00:00:01.024,23137.86496470,29175.94904762,19578.34892473,28467.00428571,0,1680307199999,0,2678300,0,0,0
2023-04-01 00:00:57.344,28466.48714286,30990.27785714,26990.65595238,29222.85857143,0,1682899199999,0,2591937,0,0,0
2023-05-01 00:00:06.144,29225.36642857,29821.46281250,25827.24747253,27211.00142857,0,1685577599999,0,2665416,0,0,0
2023-06-01 00:01:02.464,27211.09571429,31399.86186813,24818.80211765,30473.16070588,0,1688169599999,0,2591955,0,0,0
